LOADING	C:\Users\Hajji\MTU_test_workspace\MTU_Tests_single_core\iLLD_TC334_ADS_DSPR_MBIST\TriCore Debug (TASKING)\iLLD_TC334_ADS_DSPR_MBIST.elf
EMULATION	Probe - System; Root
EMULATION	Initial debug frequency set
EMULATION	Asserting reset
EMULATION	Connected to SoC/core(s)
EMULATION	Finished connecting to SoC
EMULATION	Releasing reset
EMULATION	Initialization script (if any) done
No RAM which needs initialization found
EMULATION	Final debug frequency set
EMULATION	SoC ID match OK
SoC	Detected device: TC330 series, rev. AA
EMULATION	STARTED
PROGRAMMING 	13119 bytes
PROGRAMMING	Infineon TC33x_PFLASH_2MB (1 sectors)
EMULATION	END - Without cleanup
EMULATION	Initial debug frequency set
EMULATION	Asserting reset
EMULATION	Connected to SoC/core(s)
EMULATION	Finished connecting to SoC
EMULATION	Releasing reset
EMULATION	Initialization script (if any) done
EMULATION	Final debug frequency set
EMULATION	SoC ID match OK
SoC	Detected device: TC330 series, rev. AA
EMULATION	STARTED
EMULATION	END - Without cleanup
EMULATION	Initial debug frequency set
EMULATION	Asserting reset
EMULATION	Connected to SoC/core(s)
EMULATION	Finished connecting to SoC
EMULATION	Releasing reset
EMULATION	Initialization script (if any) done
EMULATION	Final debug frequency set
EMULATION	SoC ID match OK
SoC	Detected device: TC330 series, rev. AA
EMULATION	STARTED
EMULATION	END - Without cleanup
EMULATION	Initial debug frequency set
EMULATION	Asserting reset
EMULATION	Connected to SoC/core(s)
EMULATION	Finished connecting to SoC
EMULATION	Releasing reset
EMULATION	Initialization script (if any) done
EMULATION	Final debug frequency set
EMULATION	SoC ID match OK
SoC	Detected device: TC330 series, rev. AA
EMULATION	STARTED
EMULATION	END - Without cleanup
EMULATION	Initial debug frequency set
EMULATION	Asserting reset
EMULATION	Connected to SoC/core(s)
EMULATION	Finished connecting to SoC
EMULATION	Releasing reset
EMULATION	Initialization script (if any) done
EMULATION	Final debug frequency set
EMULATION	SoC ID match OK
SoC	Detected device: TC330 series, rev. AA
EMULATION	STARTED
EMULATION	END - Without cleanup
